aX,aY,aZ,gX,gY,gZ
-0.049,0.020,0.976,1.831,-3.296,3.235
-0.085,0.087,0.980,1.892,-3.418,3.113
0.005,0.106,0.975,1.831,-3.479,3.052
0.047,0.042,0.972,1.953,-3.479,3.174
-0.036,0.016,0.977,2.014,-3.540,3.357
-0.088,0.075,0.982,2.197,-3.479,3.235
-0.014,0.108,0.977,2.380,-3.418,3.052
0.051,0.054,0.973,2.197,-3.479,3.174
-0.015,0.011,0.976,2.014,-3.601,3.174
-0.089,0.061,0.983,2.075,-3.479,3.296
-0.036,0.111,0.980,1.892,-3.540,3.113
0.047,0.072,0.975,1.770,-3.357,3.174
0.006,0.016,0.973,1.831,-3.174,3.296
-0.083,0.047,0.979,1.770,-3.296,3.296
-0.057,0.107,0.980,2.014,-3.418,3.174
0.034,0.087,0.974,2.502,-3.296,3.174
0.027,0.021,0.973,2.380,-3.418,3.296
-0.066,0.028,0.981,2.319,-3.357,3.174
