aX,aY,aZ,gX,gY,gZ
-0.172,-0.353,0.974,4.211,-24.719,4.883
-0.174,-0.350,0.968,3.479,-25.269,3.723
-0.167,-0.341,0.963,2.197,-24.414,2.258
-0.153,-0.330,0.958,0.732,-22.583,0.610
-0.143,-0.321,0.946,-0.793,-19.714,-1.038
-0.135,-0.318,0.928,-2.197,-16.846,-2.258
-0.126,-0.313,0.906,-3.540,-14.709,-3.235
-0.120,-0.310,0.886,-2.930,-14.160,-3.662
-0.124,-0.308,0.878,-1.404,-14.771,-3.418
-0.124,-0.308,0.876,0.244,-15.686,-2.869
-0.121,-0.303,0.880,1.770,-16.724,-2.075
-0.121,-0.298,0.882,3.174,-18.066,-1.160
-0.125,-0.295,0.893,4.517,-19.653,-0.122
-0.130,-0.290,0.902,5.676,-21.057,0.549
-0.139,-0.287,0.915,6.409,-21.606,0.793
-0.154,-0.286,0.923,6.165,-20.630,0.916
-0.165,-0.287,0.923,5.066,-17.395,0.610
-0.157,-0.291,0.921,3.601,-12.878,-0.916
-0.135,-0.294,0.919,2.686,-8.911,-2.686
-0.117,-0.295,0.921,2.441,-7.263,-3.052
-0.122,-0.302,0.934,2.930,-8.606,-1.648
-0.149,-0.314,0.953,3.601,-11.597,0.610
-0.183,-0.326,0.968,3.967,-13.916,2.686
-0.218,-0.335,0.983,4.639,-15.564,4.272
-0.248,-0.344,0.999,4.883,-15.930,4.333
-0.264,-0.351,1.007,4.272,-15.381,2.625
-0.261,-0.352,1.001,3.296,-14.160,0.671
-0.234,-0.344,0.990,2.563,-13.672,-1.099
-0.215,-0.339,0.983,2.869,-16.174,-1.587
-0.208,-0.340,0.984,4.089,-20.447,-0.916
-0.206,-0.338,0.990,4.700,-24.475,0.183
-0.200,-0.328,1.000,4.517,-27.405,0.427
-0.205,-0.322,1.009,4.150,-29.541,0.366
-0.235,-0.325,1.016,3.479,-31.006,0.183
-0.267,-0.332,1.022,1.648,-31.799,-0.549
-0.284,-0.332,1.016,-1.648,-31.372,-2.014
-0.286,-0.327,1.001,-5.432,-30.334,-4.089
-0.279,-0.318,0.983,-8.545,-28.870,-6.226
-0.267,-0.304,0.967,-10.986,-27.466,-8.484
-0.251,-0.296,0.948,-13.062,-26.062,-10.559
-0.234,-0.284,0.921,-15.808,-23.926,-11.780
-0.218,-0.268,0.891,-18.738,-22.400,-12.207
-0.211,-0.249,0.864,-21.301,-21.118,-12.085
-0.216,-0.235,0.841,-23.315,-19.165,-12.024
-0.221,-0.225,0.814,-25.818,-15.686,-11.963
-0.208,-0.213,0.781,-28.931,-10.498,-12.634
-0.175,-0.201,0.733,-31.982,-4.944,-13.367
-0.139,-0.195,0.675,-33.691,-0.977,-12.634
-0.114,-0.187,0.623,-33.630,0.916,-10.620
-0.100,-0.173,0.585,-32.349,1.099,-8.362
-0.084,-0.150,0.564,-31.799,1.282,-6.897
-0.061,-0.134,0.533,-32.654,2.625,-5.981
-0.014,-0.125,0.475,-34.973,6.470,-5.493
0.051,-0.125,0.381,-38.269,13.672,-4.883
0.113,-0.137,0.273,-39.612,23.010,-3.235
0.155,-0.159,0.179,-37.720,33.936,0.244
0.189,-0.188,0.109,-31.799,46.326,5.676
0.211,-0.219,0.065,-21.606,59.692,13.062
0.256,-0.255,0.059,-5.371,70.496,22.522
0.304,-0.294,0.100,19.043,74.402,35.095
0.257,-0.370,0.235,53.101,67.200,51.453
0.159,-0.455,0.473,89.294,52.734,71.411
-0.012,-0.528,0.786,119.507,34.302,91.675
-0.243,-0.595,1.178,142.395,12.817,105.957
-0.494,-0.620,1.692,156.006,-9.521,111.450
-0.759,-0.582,2.186,156.189,-28.503,110.962
-1.015,-0.572,2.631,144.104,-38.086,106.384
-1.192,-0.597,2.890,117.249,-33.813,92.407
-1.213,-0.658,2.960,70.923,-16.907,62.622
-1.099,-0.747,2.836,12.573,2.319,19.226
-0.913,-0.788,2.564,-46.814,17.822,-25.269
-0.722,-0.741,2.229,-94.482,26.733,-58.960
-0.561,-0.702,1.952,-119.385,27.405,-79.773
-0.444,-0.667,1.747,-125.366,19.653,-89.905
-0.270,-0.585,1.602,-124.939,7.446,-92.468
-0.166,-0.496,1.512,-124.817,-12.329,-90.332
-0.116,-0.373,1.416,-128.906,-36.072,-86.548
-0.011,-0.286,1.316,-135.010,-52.856,-83.130
0.094,-0.218,1.165,-147.156,-63.660,-80.444
0.185,-0.163,0.963,-164.612,-69.641,-75.439
0.236,-0.129,0.709,-181.213,-70.251,-68.237
0.267,-0.129,0.427,-191.711,-65.430,-59.937
0.289,-0.144,0.127,-194.946,-56.213,-50.659
0.298,-0.155,-0.167,-192.017,-46.631,-41.443
0.281,-0.141,-0.445,-180.908,-36.621,-35.034
0.261,-0.114,-0.667,-159.607,-23.560,-29.968
0.263,-0.083,-0.820,-130.310,-9.216,-23.682
0.262,-0.054,-0.907,-96.252,3.235,-14.465
0.239,-0.040,-0.922,-59.082,14.893,-3.052
0.191,-0.058,-0.861,-22.156,28.137,9.033
0.161,-0.079,-0.737,8.789,45.837,19.714
0.183,-0.065,-0.569,33.142,67.627,28.381
0.281,-0.016,-0.328,54.871,89.905,35.950
0.430,0.060,-0.036,76.599,104.675,43.884
0.486,0.071,0.265,99.365,103.455,56.274
0.427,0.037,0.617,115.295,88.562,75.317
0.324,-0.014,0.901,114.624,72.937,97.168
0.152,-0.095,1.126,103.027,64.392,114.502
-0.050,-0.188,1.302,90.820,65.674,122.437
-0.271,-0.314,1.476,84.961,72.266,122.559
-0.445,-0.403,1.732,85.388,79.529,112.793
-0.624,-0.455,2.034,86.365,80.383,98.206
-0.767,-0.459,2.338,84.473,72.205,82.275
-0.859,-0.449,2.568,77.698,57.922,63.416
-0.876,-0.432,2.712,64.514,41.809,42.664
-0.806,-0.394,2.771,45.898,27.893,20.203
-0.685,-0.366,2.740,24.109,18.921,-1.831
-0.573,-0.361,2.632,0.793,14.526,-20.325
-0.467,-0.362,2.475,-22.278,12.756,-35.645
-0.316,-0.368,2.295,-44.434,8.972,-48.462
-0.255,-0.330,2.050,-65.125,-0.671,-55.542
-0.023,-0.356,1.907,-76.599,-10.010,-60.059
0.067,-0.296,1.698,-90.576,-31.128,-58.167
0.207,-0.256,1.540,-104.736,-56.824,-52.307
0.187,-0.198,1.378,-115.234,-88.501,-41.504
0.100,-0.140,1.226,-120.911,-115.112,-31.799
0.075,-0.134,1.145,-117.493,-123.901,-29.663
0.063,-0.086,1.034,-117.737,-125.244,-31.372
0.061,-0.075,0.916,-118.591,-123.535,-33.203
0.096,-0.073,0.788,-117.798,-121.643,-35.461
0.100,-0.046,0.638,-117.493,-120.422,-38.635
0.096,-0.011,0.496,-115.845,-114.319,-44.983
0.130,0.012,0.357,-114.136,-99.548,-53.162
0.189,0.037,0.181,-116.760,-80.933,-58.350
0.258,0.061,-0.029,-121.460,-62.744,-59.204
0.320,0.082,-0.271,-123.962,-46.631,-55.725
0.376,0.105,-0.514,-119.995,-32.837,-48.462
0.371,0.132,-0.730,-106.445,-19.287,-37.964
0.379,0.139,-0.863,-82.703,-3.113,-27.771
0.355,0.120,-0.947,-53.101,14.038,-16.663
0.289,0.095,-0.969,-23.560,29.297,-3.662
0.245,0.047,-0.912,6.226,46.875,7.446
0.238,0.040,-0.810,32.898,68.298,16.113
0.273,0.043,-0.636,59.387,93.140,22.217
0.406,0.082,-0.398,86.853,117.554,25.452
0.565,0.123,-0.125,113.831,131.836,32.593
0.644,0.137,0.223,139.343,128.174,49.255
0.606,0.114,0.613,158.936,110.535,73.242
0.487,0.060,1.012,168.701,87.830,99.731
0.290,0.003,1.342,164.917,70.923,123.352
0.022,-0.082,1.652,155.884,63.538,137.268
-0.281,-0.167,1.997,144.836,68.848,139.526
-0.547,-0.231,2.370,132.446,82.214,131.653
-0.744,-0.256,2.724,118.530,92.651,114.502
-0.880,-0.260,2.982,98.389,92.834,91.370
-0.964,-0.263,3.109,72.571,81.726,65.186
-0.973,-0.275,3.126,46.448,61.646,39.063
-0.911,-0.274,3.050,23.437,38.391,13.916
-0.774,-0.265,2.927,3.479,19.287,-7.996
-0.607,-0.254,2.744,-16.541,7.202,-26.978
-0.426,-0.269,2.513,-36.682,0.122,-43.091
-0.181,-0.280,2.303,-55.420,-6.714,-54.810
